2025-10-24 14:40:03,617: 'n'
2025-10-24 14:40:03,776: 'o'
2025-10-24 14:40:03,986: 't'
2025-10-24 14:40:04,179: 'e'
2025-10-24 14:40:04,853: Key.enter
2025-10-24 14:40:06,589: 'h'
2025-10-24 14:40:06,711: 'e'
2025-10-24 14:40:06,811: 'l'
2025-10-24 14:40:06,949: 'l'
2025-10-24 14:40:07,244: 'o'
2025-10-24 14:40:07,389: Key.space
2025-10-24 14:40:16,562: Key.ctrl_l
2025-10-24 14:40:17,014: '\x03'
2025-10-24 14:40:18,443: Key.ctrl_l
2025-10-24 14:40:18,873: '\x03'
2025-10-24 14:40:20,123: Key.ctrl_l
2025-10-24 14:40:20,559: '\x03'
2025-10-24 14:40:20,963: '\x03'
2025-10-24 14:40:21,643: Key.ctrl_l
2025-10-24 14:40:21,976: '\x03'
